time	Vo_sch_ideal
0.00000000000000000E0	-2.17509539097540294E-24
0.99999999999999978E-13	1.43706831632593768E-8
1.99999999999999956E-13	1.43161942193032532E-8
5.00000000000000355E-13	1.38731246670523101E-8
1.40000000000000013E-12	1.29431591824258674E-8
4.10000000000000053E-12	1.09948412394610640E-8
7.67752720242000741E-12	1.13051023083251279E-8
1.21048931343250388E-11	1.49463082586053675E-8
1.88442860614137531E-11	2.33298663425381658E-8
2.77052794766529153E-11	3.25649724164934895E-8
3.77052794766529153E-11	4.10441661353193599E-8
4.77052794766529153E-11	5.44568005835226820E-8
5.77052794766528976E-11	7.86172490753263009E-8
6.53412079198534368E-11	1.07709457241545437E-7
7.26161186227611388E-11	1.43495416840632117E-7
8.26161186227611744E-11	2.13060847593532898E-7
9.26161186227611388E-11	3.27561493351213029E-7
1.02616118622761188E-10	5.21069562156237787E-7
1.12616118622761174E-10	9.14194233102185549E-7
1.22616118622761183E-10	1.86034729135324950E-6
1.32616118622761148E-10	4.98572904532969297E-6
1.42616118622761157E-10	1.74724675770031102E-5
1.52616118622761121E-10	7.74287398216551281E-5
1.62616118622761086E-10	4.07765993817923000E-4
1.72616118622761072E-10	2.23503404426869823E-3
1.82616118622761103E-10	9.53092176837383498E-3
1.92616118622761090E-10	2.52875139766662826E-2
2.02616118622761121E-10	4.68967508510067788E-2
2.12616118622761086E-10	7.09325936114681355E-2
2.22616118622761094E-10	9.43875662643032776E-2
2.32616118622761014E-10	1.14895910103967314E-1
2.42616118622761068E-10	1.31023013601392790E-1
2.52616118622761077E-10	1.41646934999222851E-1
2.62616118622761086E-10	1.45521456549220352E-1
2.72616118622761094E-10	1.41610718731446106E-1
2.82616118622761148E-10	1.29562973503748591E-1
2.92616118622761068E-10	1.10131212134763889E-1
3.02616118622761165E-10	8.55174899264661725E-2
3.12616118622761130E-10	5.79555306497143619E-2
3.22616118622761183E-10	2.92023178834386821E-2
3.32616118622761192E-10	6.74712158957748009E-3
3.42616118622761201E-10	4.26484473225257865E-4
3.52616118622761299E-10	1.31817079715291552E-5
3.62616118622761219E-10	-1.73038346310250590E-6
3.72616118622761405E-10	-5.74103408342909294E-7
3.82616118622761414E-10	-5.70432090034732742E-7
3.92616118622761245E-10	-1.50814716992201658E-7
3.93241118622761299E-10	-2.98847299452514825E-7
3.95116118622761414E-10	-2.74884368501292187E-7
3.96757709947129777E-10	-2.44049269912147171E-7
3.98568409395921197E-10	-1.91012354799306028E-7
4.01226344860338191E-10	-1.12310455113851093E-7
4.06548910182902024E-10	4.74526482166047892E-8
4.16548910182902166E-10	8.35847861091738764E-8
4.22574520498643658E-10	3.33705405238288444E-8
4.28642376559831462E-10	-1.10389423979218049E-8
4.35781607204004473E-10	-1.20303721866740321E-8
4.43514383445665672E-10	4.87029341196513954E-8
4.51455804685592543E-10	1.14691906827851109E-7
4.52080804685592597E-10	9.25761232752925345E-8
4.53955804685592490E-10	1.76705805080004974E-7
4.59580804685592614E-10	1.27327951966487407E-7
4.62522212009437350E-10	1.89070663263512539E-7
4.68174132476111549E-10	1.49698089142411517E-7
4.74413820241929685E-10	2.09026940050609866E-7
4.82313917618358978E-10	2.01057493627569572E-7
4.88569041415129490E-10	3.87134116475583845E-7
4.95753849191457530E-10	5.43834134398576552E-7
5.00000000000000000E-10	9.30219127910163301E-7
5.00870170584576524E-10	8.28382512379818259E-7
5.03480682338305741E-10	9.96801012617405569E-7
5.11312217599493302E-10	1.83848403229705815E-6
5.21312217599493444E-10	2.33536765021962234E-6
5.31312217599493231E-10	-2.45032577631721349E-6
5.41312217599493373E-10	7.68276159222830213E-7
5.50415718498547424E-10	-9.27203110059390490E-7
5.58237118367284779E-10	1.22364524263924634E-6
5.67002240337330399E-10	-1.41867604506873857E-6
5.73989344820447833E-10	9.09784469163415821E-7
5.83989344820447798E-10	-1.21323103249475661E-6
5.91666840268785332E-10	1.16205920083624470E-6
6.01666840268785119E-10	-1.13948738107004965E-6
6.11666840268785350E-10	1.06539258718449026E-6
6.21666840268785137E-10	-1.17219058515453578E-6
6.31666840268785190E-10	1.15712456298578381E-6
6.41666840268785243E-10	-1.03476538793334871E-6
6.51364992013226729E-10	1.32343879238067252E-6
6.61364992013226871E-10	-1.01727865712462040E-6
6.70342231719130055E-10	7.11678906385808219E-7
6.80342231719130375E-10	-1.02272608731393699E-6
6.89554499836947965E-10	1.11003845876156837E-6
6.98626321111479154E-10	-8.66002001579330738E-7
7.08626321111479385E-10	8.62044836937654502E-7
7.17398295585535628E-10	-1.05664644553571652E-6
7.27398295585535415E-10	9.99933608601765656E-7
7.36708774089985230E-10	-8.95937644896796570E-7
7.46708774089985283E-10	9.45649862210555270E-7
7.56708774089985248E-10	-1.03064305748937279E-6
7.66708774089985212E-10	9.35277739294733657E-7
7.76708774089985265E-10	-9.51873197907019630E-7
7.86708774089984963E-10	1.05262926219482500E-6
7.96708774089985194E-10	-8.93994862987044847E-7
8.06708774089984892E-10	8.56975555247715448E-7
8.16708774089985035E-10	-1.06084212577424930E-6
8.26708774089984999E-10	1.04848904990255920E-6
8.36708774089984963E-10	-8.61707765765851263E-7
8.46708774089984750E-10	9.12361477166460055E-7
8.56708774089984715E-10	-1.07103456651348372E-6
8.66708774089984857E-10	1.00872553541286014E-6
8.76708774089984999E-10	-8.94506145281679643E-7
8.86708774089984608E-10	9.75367003492710261E-7
8.96708774089984750E-10	-1.04495217199576307E-6
9.06708774089984715E-10	9.52266521146153266E-7
9.16708774089984679E-10	-9.68795253760583108E-7
9.26708774089984644E-10	1.04453031750379588E-6
9.36708774089984608E-10	-9.38755838754030947E-7
9.46708774089984750E-10	9.02809285668124772E-7
9.56708774089984715E-10	-1.05169746076986836E-6
9.66708774089984679E-10	1.04110192512828315E-6
9.76708774089984644E-10	-8.85259756918058649E-7
9.86708774089984431E-10	9.34260615905474623E-7
9.96708774089984750E-10	-1.07808121278475588E-6
1.00670877408998427E-9	1.01097632163014373E-6
1.01670877408998450E-9	-9.05385328035559489E-7
1.02670877408998429E-9	9.93688343955879816E-7
1.03670877408998408E-9	-1.05454568031569806E-6
1.04670877408998431E-9	9.66243703443966950E-7
1.05670877408998409E-9	-9.74268884193076623E-7
1.06670877408998410E-9	1.04276039387282671E-6
1.07670877408998433E-9	-9.68991370316922662E-7
1.08670877408998412E-9	9.34190832160804874E-7
1.09670877408998413E-9	-1.04697367752779869E-6
1.10670877408998414E-9	1.03949707613955544E-6
1.11670877408998415E-9	-9.11962809606506752E-7
1.12670877408998393E-9	9.57369177396474136E-7
1.13670877408998416E-9	-1.08095861187628550E-6
1.14670877408998395E-9	1.01350054060237160E-6
1.15670877408998374E-9	-9.21469547086809371E-7
1.16670877408998375E-9	1.00885390206776893E-6
1.17670877408998376E-9	-1.06272207679359276E-6
1.18670877408998376E-9	9.78136137195836319E-7
1.19670877408998355E-9	-9.79504238217789869E-7
1.20670877408998378E-9	1.04513937941536561E-6
1.21670877408998357E-9	-9.92246538155706403E-7
1.22670877408998358E-9	9.56772660754029580E-7
1.23670877408998403E-9	-1.04383005006446750E-6
1.24670877408998315E-9	1.04036136272373958E-6
1.25670877408998338E-9	-9.36875615438516540E-7
1.26670877408998361E-9	9.76866236562900347E-7
1.27670877408998340E-9	-1.07988187345296227E-6
1.28670877408998363E-9	1.01608206164304238E-6
1.29670877408998342E-9	-9.38108986907612419E-7
1.30670877408998320E-9	1.02073090889097906E-6
1.31670877408998388E-9	-1.06747422429727989E-6
1.32670877408998389E-9	9.87137850044202381E-7
1.33670877408998345E-9	-9.84896210685657891E-7
1.34670877408998324E-9	1.04851699866796433E-6
1.35670877408998325E-9	-1.00939374229128820E-6
1.36670877408998326E-9	9.72691119315759423E-7
1.37670877408998305E-9	-1.04105375597667926E-6
1.38670877408998305E-9	1.04197765731960179E-6
1.39670877408998306E-9	-9.58108780329540721E-7
1.40670877408998307E-9	9.91456780180172359E-7
1.41670877408998308E-9	-1.07612603598942158E-6
1.42670877408998287E-9	1.01843137999338662E-6
1.43670877408998288E-9	-9.53448316439241594E-7
1.44670877408998289E-9	1.02916449033653823E-6
1.45670877408998267E-9	-1.06869013187286543E-6
1.46670877408998290E-9	9.93581311855490590E-7
1.47670877408998291E-9	-9.90110845261531303E-7
1.48670877408998248E-9	1.05126454546810000E-6
1.49670877408998271E-9	-1.02114091819499109E-6
1.50670877408998316E-9	9.83576088651087055E-7
1.51670877408998228E-9	-1.03832384405073430E-6
1.52670877408998251E-9	1.04347921611705829E-6
1.53670877408998274E-9	-9.75134430227741511E-7
1.54670877408998253E-9	1.00147035555041986E-6
1.55670877408998276E-9	-1.07083195288710442E-6
1.56670877408998255E-9	1.02045211707896266E-6
1.57670877408998278E-9	-9.66759035112317733E-7
1.58670877408998301E-9	1.03443095157995035E-6
1.59670877408998213E-9	-1.06713066734131523E-6
1.60670877408998236E-9	9.98163626163818485E-7
1.61670877408998237E-9	-9.94928581237558873E-7
1.62670877408998216E-9	1.05276804127777934E-6
1.63670877408998217E-9	-1.02847759029171026E-6
1.64670877408998217E-9	9.90854311067495885E-7
1.65670877408998218E-9	-1.03570201565643649E-6
1.66670877408998241E-9	1.04447852385660545E-6
1.67670877408998154E-9	-9.88166001859432797E-7
1.68670877408998199E-9	1.00782049118145056E-6
1.69670877408998200E-9	-1.06489397930923024E-6
1.70670877408998223E-9	1.02214683034670872E-6
1.71670877408998224E-9	-9.77856849876096668E-7
1.72670877408998225E-9	1.03707940052585790E-6
1.73670877408998203E-9	-1.06374888836023596E-6
1.74670877408998204E-9	1.00154288924667534E-6
