freq	dB(S(2,1))
1.00000000000000000E6	-3.65166220263793884E2
1.10000000000000009E7	-2.61025469762561135E2
2.10000000000000009E7	-2.32938856565728880E2
3.10000000000000009E7	-2.16018193403741154E2
4.09999999999999964E7	-2.03867081616837886E2
5.09999999999999964E7	-1.94377080224796583E2
6.09999999999999964E7	-1.86587268737023249E2
7.09999999999999964E7	-1.79978092962545233E2
8.09999999999999964E7	-1.74236619590535513E2
9.09999999999999964E7	-1.69159690310005972E2
1.01000000000000001E8	-1.64607910534360480E2
1.10999999999999988E8	-1.60481474110230482E2
1.20999999999999996E8	-1.56706459646922869E2
1.31000000000000005E8	-1.53226586828742595E2
1.40999999999999992E8	-1.49998013784337481E2
1.51000000000000001E8	-1.46985921326325442E2
1.61000000000000010E8	-1.44162194710773628E2
1.71000000000000019E8	-1.41503805174748254E2
1.81000000000000005E8	-1.38991652139151300E2
1.91000000000000014E8	-1.36609717171256717E2
2.01000000000000023E8	-1.34344434096540266E2
2.11000000000000032E8	-1.32184212200948048E2
2.20999999999999996E8	-1.30119069935886245E2
2.31000000000000005E8	-1.28140349749756655E2
2.41000000000000014E8	-1.26240493395534759E2
2.51000000000000023E8	-1.24412862947675995E2
2.61000000000000032E8	-1.22651596804212804E2
2.70999999999999996E8	-1.20951492775133795E2
2.81000000000000005E8	-1.19307912363502533E2
2.91000000000000014E8	-1.17716701789594724E2
3.01000000000000023E8	-1.16174126361540830E2
3.11000000000000032E8	-1.14676815573564905E2
3.20999999999999996E8	-1.13221716893480240E2
3.31000000000000005E8	-1.11806056639087492E2
3.41000000000000014E8	-1.10427306676741210E2
3.51000000000000023E8	-1.09083155931780817E2
3.61000000000000032E8	-1.07771485899286312E2
3.70999999999999996E8	-1.06490349498910386E2
3.81000000000000005E8	-1.05237952739769147E2
3.91000000000000014E8	-1.04012638758256193E2
4.00999999999999979E8	-1.02812873868944643E2
4.11000000000000032E8	-1.01637235330801312E2
4.20999999999999996E8	-1.00484400581056232E2
4.31000000000000050E8	-9.93531377297729357E1
4.41000000000000014E8	-9.82422971413941326E1
4.50999999999999979E8	-9.71508039568045945E1
4.61000000000000032E8	-9.60776514319321784E1
4.70999999999999996E8	-9.50218949875270624E1
4.81000000000000050E8	-9.39826468802466231E1
4.91000000000000014E8	-9.29590714181095024E1
5.00999999999999979E8	-9.19503806542314273E1
5.11000000000000032E8	-9.09558305018860125E1
5.20999999999999996E8	-8.99747172216490476E1
5.31000000000000050E8	-8.90063742379239820E1
5.41000000000000014E8	-8.80501692477090714E1
5.50999999999999979E8	-8.71055015892117801E1
5.61000000000000032E8	-8.61717998419780962E1
5.70999999999999996E8	-8.52485196336900586E1
5.81000000000000050E8	-8.43351416317849711E1
5.91000000000000014E8	-8.34311697006383923E1
6.00999999999999979E8	-8.25361292072930297E1
6.11000000000000032E8	-8.16495654606569765E1
6.20999999999999996E8	-8.07710422707832087E1
6.31000000000000050E8	-7.99001406163113170E1
6.40999999999999925E8	-7.90364574094356875E1
6.50999999999999979E8	-7.81796043488851655E1
6.60999999999999943E8	-7.73292068523813292E1
6.70999999999999908E8	-7.64849030609027825E1
6.80999999999999961E8	-7.56463429078393990E1
6.90999999999999925E8	-7.48131872467837233E1
7.00999999999999979E8	-7.39851070322918236E1
7.10999999999999943E8	-7.31617825484581452E1
7.20999999999999908E8	-7.23429026806024478E1
7.30999999999999961E8	-7.15281642257623673E1
7.40999999999999925E8	-7.07172712380350710E1
7.50999999999999979E8	-6.99099344051156368E1
7.60999999999999943E8	-6.91058704526475687E1
7.70999999999999908E8	-6.83048015732311864E1
7.80999999999999961E8	-6.75064548771367434E1
7.90999999999999925E8	-6.67105618619393947E1
8.00999999999999979E8	-6.59168578984377707E1
8.10999999999999943E8	-6.51250817303377261E1
8.20999999999999908E8	-6.43349749852783503E1
8.30999999999999872E8	-6.35462816948526132E1
8.41000000000000014E8	-6.27587478213265904E1
8.50999999999999979E8	-6.19721207887938608E1
8.60999999999999943E8	-6.11861490165130384E1
8.70999999999999908E8	-6.04005814521664686E1
8.80999999999999872E8	-5.96151671027483587E1
8.91000000000000014E8	-5.88296545607374988E1
9.00999999999999979E8	-5.80437915231354840E1
9.10999999999999943E8	-5.72573243008511579E1
9.20999999999999908E8	-5.64699973157867952E1
9.30999999999999872E8	-5.56815525828283953E1
9.41000000000000014E8	-5.48917291737569624E1
9.50999999999999979E8	-5.41002626598799363E1
9.60999999999999943E8	-5.33068845299251137E1
9.70999999999999908E8	-5.25113215794403398E1
9.80999999999999872E8	-5.17132952675970969E1
9.91000000000000014E8	-5.09125210368952352E1
1.00099999999999989E9	-5.01087075908074731E1
1.01099999999999990E9	-4.93015561238729028E1
1.02099999999999991E9	-4.84907594981435874E1
1.03099999999999992E9	-4.76760013591946130E1
1.04099999999999993E9	-4.68569551841143106E1
1.05099999999999993E9	-4.60332832529859104E1
1.06099999999999994E9	-4.52046355343381112E1
1.07099999999999995E9	-4.43706484738672025E1
1.08099999999999996E9	-4.35309436743973155E1
1.09099999999999997E9	-4.26851264535359398E1
1.10099999999999998E9	-4.18327842637808267E1
1.11099999999999999E9	-4.09734849579313032E1
1.12100000000000000E9	-4.01067748805474888E1
1.13099999999999978E9	-3.92321767638914221E1
1.14100000000000001E9	-3.83491874043045922E1
1.15100000000000002E9	-3.74572750923880582E1
1.16100000000000003E9	-3.65558767677738183E1
1.17099999999999982E9	-3.56443948669139132E1
1.18099999999999983E9	-3.47221938305083233E1
1.19100000000000006E9	-3.37885962365027215E1
1.20100000000000007E9	-3.28428785259017886E1
1.21099999999999985E9	-3.18842662933772125E1
1.22099999999999986E9	-3.09119291250332529E1
1.23099999999999987E9	-2.99249749852370162E1
1.24100000000000010E9	-2.89224441886589156E1
1.25099999999999989E9	-2.79033030513260760E1
1.26099999999999990E9	-2.68664374093805369E1
1.27099999999999991E9	-2.58106463483001525E1
1.28099999999999992E9	-2.47346367336181494E1
1.29099999999999993E9	-2.36370195328678134E1
1.30099999999999993E9	-2.25163095581368689E1
1.31099999999999994E9	-2.13709312856962486E1
1.32099999999999995E9	-2.01992350609023630E1
