time	Vo_no_amp
0.00000000000000000E0	0.00000000000000000E0
0.99999999999999978E-13	2.05595322798492042E-26
1.99999999999999956E-13	6.03862413349246907E-26
5.00000000000000355E-13	1.55644366381300214E-24
1.40000000000000013E-12	2.30599813544226517E-22
4.10000000000000053E-12	4.60641151473655164E-20
1.22000000000000020E-11	8.81130754004981753E-18
2.21999999999999975E-11	1.04270971791273181E-16
3.22000000000000020E-11	5.07903477067402420E-16
4.22000000000000064E-11	1.68952280759804951E-15
5.21999999999999886E-11	4.47429417571805654E-15
6.21999999999999975E-11	1.01416353814945404E-14
7.22000000000000242E-11	2.04846896000710732E-14
8.21999999999999886E-11	3.78058943179302354E-14
9.21999999999999886E-11	6.48411568233012936E-14
1.02200000000000024E-10	1.04617945456991146E-13
1.12200000000000011E-10	1.60257620158571212E-13
1.22200000000000064E-10	2.34730005859979096E-13
1.32200000000000051E-10	3.30556021721470650E-13
1.42199999999999993E-10	4.49447233895826592E-13
1.52200000000000002E-10	5.91893981958335225E-13
1.62199999999999900E-10	7.56741817095262093E-13
1.72199999999999998E-10	9.40796992630914275E-13
1.82199999999999918E-10	1.13850143744831112E-12
1.92199999999999971E-10	1.34172817257310273E-12
2.02199999999999935E-10	1.53974037531703400E-12
2.12199999999999900E-10	1.71932926082313009E-12
2.22199999999999909E-10	1.86512292255503476E-12
2.32199999999999918E-10	1.96005208408578602E-12
2.42199999999999882E-10	1.98596281469155200E-12
2.52199999999999980E-10	1.92437164060355759E-12
2.62199999999999900E-10	1.75735710332003814E-12
2.72199999999999953E-10	1.46856327024775024E-12
2.82200000000000006E-10	1.04426336157636124E-12
2.92200000000000015E-10	4.74422935633342036E-13
3.02200000000000069E-10	-2.46288164097074835E-13
3.12200000000000166E-10	-1.11758172270979683E-12
3.22199999999999998E-10	-2.13278188320598616E-12
3.32200000000000006E-10	-3.27823809661457410E-12
3.42200000000000060E-10	-4.53294542317980031E-12
3.52200000000000069E-10	-5.86839653255719540E-12
3.62200000000000077E-10	-7.24869769207127135E-12
3.72200000000000220E-10	-8.63098443184953368E-12
3.82200000000000051E-10	-9.96616331746843365E-12
3.92200000000000237E-10	-1.11999834967803280E-11
4.02200000000000202E-10	-1.22744131375556509E-11
4.12200000000000255E-10	-1.31292791999165770E-11
4.22200000000000220E-10	-1.37041309571953640E-11
4.32200000000000273E-10	-1.39402904687026785E-11
4.42200000000000237E-10	-1.37830429379781871E-11
4.52200000000000291E-10	-1.31839062432584520E-11
4.62200000000000255E-10	-1.21029114790692160E-11
4.72200000000000308E-10	-1.05108193487873791E-11
4.82200000000000273E-10	-8.39118642156507200E-12
4.92200000000000149E-10	-5.74218837153979855E-12
5.02200000000000202E-10	-2.57811286205293655E-12
5.12200000000000166E-10	1.06954812614824513E-12
5.22200000000000308E-10	5.15145650121320919E-12
5.32200000000000006E-10	9.60027470645066749E-12
5.42200000000000060E-10	1.43310391136636261E-11
5.52200000000000024E-10	1.92420991734566327E-11
5.62199999999999989E-10	2.42166462516867975E-11
5.72200000000000042E-10	2.91248278554135931E-11
5.82199999999999918E-10	3.38264171460605745E-11
5.92199999999999882E-10	3.81739893602608049E-11
6.02199999999999847E-10	4.20165396313534956E-11
6.12199999999999811E-10	4.52034589865084335E-11
6.22199999999999864E-10	4.75887725284129282E-11
6.32199999999999562E-10	4.90355382277545537E-11
6.42199999999999882E-10	4.94203010681886656E-11
6.52199999999999580E-10	4.86374882791790064E-11
6.62199999999999633E-10	4.66036156542935931E-11
6.72199999999999687E-10	4.32611616387865627E-11
6.82199999999999562E-10	3.85819682110039608E-11
6.92199999999999527E-10	3.25700465937352046E-11
7.02199999999999491E-10	2.52636873853008126E-11
7.12199999999999633E-10	1.67367880244636602E-11
7.22199999999999420E-10	7.09932034815804691E-12
7.32199999999999385E-10	-3.50312340201321115E-12
7.42199999999999438E-10	-1.48907459421806365E-11
7.52199999999999314E-10	-2.68519382747217206E-11
7.62199999999999278E-10	-3.91466436414268371E-11
7.72199999999999331E-10	-5.15106563582743338E-11
7.82199999999999385E-10	-6.36607857536391375E-11
7.92199999999999172E-10	-7.53007818584019528E-11
8.02199999999998958E-10	-8.61278960286417039E-11
8.12199999999999100E-10	-9.58399386625813676E-11
8.22199999999999065E-10	-1.04142687660740174E-10
8.32199999999998852E-10	-1.10757484500410652E-10
8.42199999999999172E-10	-1.15428832508537171E-10
8.52199999999998958E-10	-1.17931796649198128E-10
8.62199999999998923E-10	-1.18079002315792403E-10
8.72199999999998710E-10	-1.15727037662505272E-10
8.82199999999998852E-10	-1.10782074086721560E-10
8.92199999999999172E-10	-1.03204532998362608E-10
9.02199999999998781E-10	-9.30126470352029067E-11
9.12199999999998745E-10	-8.02847892068541036E-11
9.22199999999998710E-10	-6.51604684962201564E-11
9.32199999999998852E-10	-4.78399125657865021E-11
9.42199999999998816E-10	-2.85821832190909619E-11
9.52199999999998781E-10	-7.70180660261826766E-12
9.62199999999998568E-10	1.44360531813740067E-11
9.72199999999998710E-10	3.74218030616350328E-11
9.82199999999998674E-10	6.08089040386337487E-11
9.92199999999998639E-10	8.41224932810856174E-11
1.00219999999999843E-9	1.06868983461877098E-10
1.01219999999999843E-9	1.28546447824354804E-10
1.02219999999999844E-9	1.48655571861139513E-10
1.03219999999999845E-9	1.66710931450293920E-10
1.04219999999999846E-9	1.82252341864192102E-10
1.05219999999999825E-9	1.94856009790794937E-10
1.06219999999999803E-9	2.04145213838807926E-10
1.07219999999999827E-9	2.09800244172993189E-10
1.08219999999999827E-9	2.11567350308452795E-10
1.09219999999999806E-9	2.09266470036728824E-10
1.10219999999999785E-9	2.02797533507639649E-10
1.11219999999999786E-9	1.92145155962509273E-10
1.12219999999999787E-9	1.77381559716399151E-10
1.13219999999999832E-9	1.58667605905076781E-10
1.14219999999999788E-9	1.36251864491132757E-10
1.15219999999999767E-9	1.10467698974469108E-10
1.16219999999999790E-9	8.17283875461323817E-11
1.17219999999999791E-9	5.05203477269343804E-11
1.18219999999999792E-9	1.73945778171819621E-11
1.19219999999999748E-9	-1.70435281405555084E-11
1.20219999999999749E-9	-5.21457983190468877E-11
1.21219999999999795E-9	-8.72341076382128477E-11
1.22219999999999795E-9	-1.21614148556747881E-10
1.23219999999999730E-9	-1.54589853412914513E-10
1.24219999999999753E-9	-1.85478147325432774E-10
1.25219999999999776E-9	-2.13623699708406933E-10
1.26219999999999777E-9	-2.38413344539748451E-10
1.27219999999999756E-9	-2.59289846521057799E-10
1.28219999999999756E-9	-2.75764698295479782E-10
1.29219999999999779E-9	-2.87429646714429543E-10
1.30219999999999736E-9	-2.93966668771893369E-10
1.31219999999999715E-9	-2.95156149884642449E-10
1.32219999999999738E-9	-2.90883054608272129E-10
1.33219999999999716E-9	-2.81140921318992465E-10
1.34219999999999740E-9	-2.66033560555768700E-10
1.35219999999999718E-9	-2.45774392223488247E-10
1.36219999999999741E-9	-2.20683414015960011E-10
1.37219999999999720E-9	-1.91181845213057611E-10
1.38219999999999699E-9	-1.57784536179522661E-10
1.39219999999999677E-9	-1.21090280660871041E-10
1.40219999999999678E-9	-8.17702191774630904E-11
1.41219999999999701E-9	-4.05545731031040191E-11
