time	Vo
0.00000000000000000E0	0.00000000000000000E0
0.99999999999999978E-13	-4.17138921654225125E-32
1.99999999999999956E-13	-1.24183298962104693E-31
5.00000000000000355E-13	-1.01007621446976614E-29
1.40000000000000013E-12	-3.27941126395412397E-26
4.10000000000000053E-12	-1.53273908677486159E-22
1.22000000000000020E-11	-5.42586864044550765E-19
2.21999999999999975E-11	-1.40140661643844933E-17
3.22000000000000020E-11	-1.09773003268330172E-16
4.22000000000000064E-11	-5.35966431445757863E-16
5.21999999999999886E-11	-1.95880025901615773E-15
6.21999999999999975E-11	-5.84621116842247979E-15
7.22000000000000242E-11	-1.49942180329228281E-14
8.21999999999999886E-11	-3.41557370603493293E-14
9.21999999999999886E-11	-7.06888407676041552E-14
1.02200000000000024E-10	-1.35107840537279666E-13
1.12200000000000011E-10	-2.41408826096491502E-13
1.22200000000000064E-10	-4.07054346684120372E-13
1.32200000000000051E-10	-6.52531698217165257E-13
1.42199999999999993E-10	-1.00043149135215703E-12
1.52200000000000002E-10	-1.47401791174182373E-12
1.62199999999999900E-10	-2.09528440458413678E-12
1.72199999999999998E-10	-2.88252295196501684E-12
1.82199999999999918E-10	-3.84748789337566155E-12
1.92199999999999971E-10	-4.99230017441129448E-12
2.02199999999999935E-10	-6.30630580739360447E-12
2.12199999999999900E-10	-7.76316179255575456E-12
2.22199999999999909E-10	-9.31845644060419431E-12
2.32199999999999918E-10	-1.09081640226077803E-11
2.42199999999999882E-10	-1.24481859497394831E-11
2.52199999999999980E-10	-1.38351576123414510E-11
2.62199999999999900E-10	-1.49486214181844512E-11
2.72199999999999953E-10	-1.56545946448030593E-11
2.82200000000000006E-10	-1.58104937211517926E-11
2.92200000000000015E-10	-1.52713040164245251E-11
3.02200000000000069E-10	-1.38968016449171095E-11
3.12200000000000166E-10	-1.15595503096673835E-11
3.22199999999999998E-10	-8.15332583291793256E-12
3.32200000000000006E-10	-3.60157257574057343E-12
3.42200000000000060E-10	2.13452628495794894E-12
3.52200000000000069E-10	9.04877684528408821E-12
3.62200000000000077E-10	1.70838837401072796E-11
3.72200000000000220E-10	2.61268821674516039E-11
3.82200000000000051E-10	3.60063927392394456E-11
3.92200000000000237E-10	4.64919595653704487E-11
4.02200000000000202E-10	5.72956850708824916E-11
4.12200000000000255E-10	6.80763080041242752E-11
4.22200000000000220E-10	7.84457793779824542E-11
4.32200000000000273E-10	8.79782846076924940E-11
4.42200000000000237E-10	9.62215554341200985E-11
4.52200000000000291E-10	1.02710222374940119E-10
4.62200000000000255E-10	1.06980877753401571E-10
4.72200000000000308E-10	1.08588448005535065E-10
4.82200000000000273E-10	1.07123410144955744E-10
4.92200000000000149E-10	1.02229329307981942E-10
5.02200000000000202E-10	9.36201418986719958E-11
5.12200000000000166E-10	8.10965671674980726E-11
5.22200000000000308E-10	6.45610102805025843E-11
5.32200000000000006E-10	4.40303330785978364E-11
5.42200000000000060E-10	1.96459169506314812E-11
5.52200000000000024E-10	-8.31948427617613184E-12
5.62199999999999989E-10	-3.94585193207706286E-11
5.72200000000000042E-10	-7.32299724227438098E-11
5.82199999999999918E-10	-1.08963688859829499E-10
5.92199999999999882E-10	-1.45869816661211460E-10
6.02199999999999847E-10	-1.83052360182832841E-10
6.12199999999999811E-10	-2.19526900939679415E-10
6.22199999999999864E-10	-2.54242195864057008E-10
6.32199999999999562E-10	-2.86105221244559127E-10
6.42199999999999882E-10	-3.14009101404413071E-10
6.52199999999999580E-10	-3.36863252815537528E-10
6.62199999999999633E-10	-3.53624989047246263E-10
6.72199999999999687E-10	-3.63331764683470926E-10
6.82199999999999562E-10	-3.65133180347112285E-10
6.92199999999999527E-10	-3.58321826583249115E-10
7.02199999999999491E-10	-3.42362021808540895E-10
7.12199999999999633E-10	-3.16915511254488269E-10
7.22199999999999420E-10	-2.81863244072945918E-10
7.32199999999999385E-10	-2.37322428794667672E-10
7.42199999999999438E-10	-1.83658174190476986E-10
7.52199999999999314E-10	-1.21489147154125665E-10
7.62199999999999278E-10	-5.16868183790136193E-11
7.72199999999999331E-10	2.46319817345556658E-11
7.82199999999999385E-10	1.06119311239290948E-10
7.92199999999999172E-10	1.91217107438992961E-10
8.02199999999998958E-10	2.78184670638480203E-10
8.12199999999999100E-10	3.65132196057471159E-10
8.22199999999999065E-10	4.50059720102208338E-10
8.32199999999998852E-10	5.30900678406775661E-10
